,vintage,dt,location,loc_name,category,measurement,unit,age,race,ethnicity,sex,value
0,2021-01-11 20:00:00+00:00,2021-01-05,09,Connecticut,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,126750
1,2021-01-11 20:00:00+00:00,2021-01-05,23,Maine,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,49725
2,2021-01-11 20:00:00+00:00,2021-01-05,25,Massachusetts,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,242775
3,2021-01-11 20:00:00+00:00,2021-01-05,33,New Hampshire,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,49725
4,2021-01-11 20:00:00+00:00,2021-01-05,44,Rhode Island,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,39000
5,2021-01-11 20:00:00+00:00,2021-01-05,50,Vermont,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,25350
6,2021-01-11 20:00:00+00:00,2021-01-05,34,New Jersey,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,305175
7,2021-01-11 20:00:00+00:00,2021-01-05,36,New York,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,389025
9,2021-01-11 20:00:00+00:00,2021-01-05,72,Puerto Rico,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,121875
10,2021-01-11 20:00:00+00:00,2021-01-05,78,Virgin Islands,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,4875
11,2021-01-11 20:00:00+00:00,2021-01-05,10,Delaware,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,34125
12,2021-01-11 20:00:00+00:00,2021-01-05,11,District of Columbia,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,27300
13,2021-01-11 20:00:00+00:00,2021-01-05,24,Maryland,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,205725
14,2021-01-11 20:00:00+00:00,2021-01-05,42,Pennsylvania,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,393900
16,2021-01-11 20:00:00+00:00,2021-01-05,51,Virginia,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,289575
17,2021-01-11 20:00:00+00:00,2021-01-05,54,West Virginia,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,66300
18,2021-01-11 20:00:00+00:00,2021-01-05,01,Alabama,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,166725
19,2021-01-11 20:00:00+00:00,2021-01-05,12,Florida,pfizer_vaccine_first_dose_allocated,cumulative,doses,all,all,all,all,724425
